,agency,first_char,font_bold,font_italic,font_name,font_size,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase
0,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,1,0,0,0,95.0,cupertino_usd_03-10-2015_0,03-10-2015,0,0,0,0,,0
1,cupertino_usd,1,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_1,03-10-2015,0,1,0,0,1.    CALL TO ORDER/FLAG SALUTE/MEYERHOLZ ELEMENTARY SCHOOL,1
2,cupertino_usd, ,0,0,Arial,14.375,0,0,0,1,0,0,0,95.0,cupertino_usd_03-10-2015_2,03-10-2015,0,0,0,0,,0
3,cupertino_usd,2,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_3,03-10-2015,0,1,0,0,2.    SUPERINTENDENT’S REPORT,1
4,cupertino_usd, ,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_4,03-10-2015,0,0,0,0,,0
5,cupertino_usd,3,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_5,03-10-2015,0,1,0,0,3.    RECOGNITION,1
6,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_6,03-10-2015,0,0,0,0,Classified Employee of the Month – March 2015,0
7,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_7,03-10-2015,0,0,0,0,"Sean O’Hayer, School Site Instructional Technology Specialist",0
8,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_8,03-10-2015,0,0,0,0,Cupertino Middle School,0
9,cupertino_usd, ,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_9,03-10-2015,0,0,0,0,,0
10,cupertino_usd,4,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_10,03-10-2015,0,1,0,0,4.    APPROVAL OF MINUTES,1
11,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_11,03-10-2015,0,0,0,0,"Approval of Minutes of the Special Meeting on February 9, 2015 and the Regular Meeting",0
12,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_12,03-10-2015,0,0,0,0,"on February 10, 2015 and February 24, 2015",0
13,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,1,0,0,0,95.0,cupertino_usd_03-10-2015_13,03-10-2015,0,0,0,0,,0
14,cupertino_usd,5,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_14,03-10-2015,0,1,0,0,5.    COMMUNICATION – EMPLOYEE ORGANIZATIONS,1
15,cupertino_usd, ,0,0,Arial,14.375,0,0,0,1,0,0,0,95.0,cupertino_usd_03-10-2015_15,03-10-2015,0,0,0,0,,0
16,cupertino_usd,6,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_16,03-10-2015,0,1,0,0,6.    PUBLIC COMMENTS,1
17,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_17,03-10-2015,0,0,0,0,The public may address the Board on any agenda item and any item not on the agenda.  The,0
18,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_18,03-10-2015,0,0,0,0,"Board president will only call on those who have filled out comment cards before the meeting, and",0
19,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_19,03-10-2015,0,0,0,0,each speaker will be allotted three (3) minutes.  The Board will not respond or take action on any,0
20,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_20,03-10-2015,0,0,0,0,"non-agenda item comments at this time, although the item may be agendized at a later date (Ed.",0
21,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_21,03-10-2015,0,0,0,0,Code 35145.5).  The comments shall be made from the podium.  In accordance with Government,0
22,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_22,03-10-2015,0,0,0,0,Code 54954.2 – No action or discussion shall be undertaken on any item not appearing on the,0
23,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_23,03-10-2015,0,0,0,0,posted agenda.  The Board shall limit the total time to 30 minutes.  Please refrain from any,0
24,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_24,03-10-2015,0,0,0,0,response to the speaker including negative and positive reactions (booing and clapping).  This will,0
25,cupertino_usd, ,0,0,Arial,13.097,0,0,0,0,0,1,0,104.0,cupertino_usd_03-10-2015_25,03-10-2015,0,0,0,0,ensure that all members of the public feel free to voice their opinions and concerns.,0
26,cupertino_usd, ,0,0,Arial,14.375,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_26,03-10-2015,0,0,0,0,,0
27,cupertino_usd,7,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_27,03-10-2015,0,1,0,0,7.     PRESENTATION,1
28,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,1,0,0,101.0,cupertino_usd_03-10-2015_28,03-10-2015,0,0,0,1,7.1     Cupertino Educational Endowment Foundation Award Recipients,0
29,cupertino_usd, ,0,0,Arial,14.375,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_29,03-10-2015,0,0,0,0,,0
30,cupertino_usd, ,0,0,Arial,14.375,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_30,03-10-2015,0,0,0,0,,0
31,cupertino_usd, ,0,0,Times-Roman,20.400,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_31,03-10-2015,0,0,0,0,,0
32,cupertino_usd,B,0,0,Arial,13.097,1,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_0,03-10-2015,0,0,0,0,"Board Meeting Agenda March 10, 2015 Page 2",0
33,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_1,03-10-2015,0,0,0,0,,0
34,cupertino_usd,8,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,77.0,cupertino_usd_03-10-2015_2,03-10-2015,0,1,0,0,8.     CONSENT,1
35,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,0,0,1,0,0,101.0,cupertino_usd_03-10-2015_3,03-10-2015,0,0,0,1,8.1  Contracts for Board Ratification,0
36,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,1,0,0,101.0,cupertino_usd_03-10-2015_4,03-10-2015,0,0,0,1,8.2     Ratification of Personnel Report for February 2015,0
37,cupertino_usd, ,0,0,Arial,14.375,0,0,0,0,1,0,0,101.0,cupertino_usd_03-10-2015_5,03-10-2015,0,0,0,1,8.3     Ratification of Warrant List for February 2015,0
38,cupertino_usd, ,0,0,Arial,14.375,1,0,0,0,1,0,0,101.0,cupertino_usd_03-10-2015_6,03-10-2015,0,0,0,1,"8.4     Approval of March 10, 2015 Revisions to the Measure H Bond Program Project List",0
39,cupertino_usd, ,0,0,Arial,14.375,1,0,0,0,1,0,0,101.0,cupertino_usd_03-10-2015_7,03-10-2015,0,0,0,1,8.5     Approval of Contract Award to Kitchell CEM for Bond Program and Construction,0
