,agency,first_char,font_freq_0,font_freq_1,font_freq_2,font_name,font_size,font_size_0,font_size_1,font_size_2,font_size_3,font_size_4,font_size_5,font_size_6,font_size_7,font_size_8,font_size_9,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,leading_spaces,left_indent_0,left_indent_1,left_indent_10,left_indent_11,left_indent_12,left_indent_13,left_indent_14,left_indent_15,left_indent_16,left_indent_2,left_indent_3,left_indent_4,left_indent_5,left_indent_6,left_indent_7,left_indent_8,left_indent_9,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,item_heading,item_text,meeting_heading,other_text,section_heading
0,cupertino_usd,C,0,0,0,SVBGOM+Arial-BoldMT,16.728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195.3,cupertino_usd_05-10-2016_0,05-10-2016,0,0,0,0,CUPERTINO UNION SCHOOL DISTRICT,1,0,0,0,1,0
1,cupertino_usd,B,0,0,0,SVBGOM+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,243.755,cupertino_usd_05-10-2016_1,05-10-2016,0,0,0,0,Board of Education,0,0,0,0,1,0
2,cupertino_usd,R,0,0,0,SVBGOM+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,253.855,cupertino_usd_05-10-2016_2,05-10-2016,0,0,0,0,Regular Meeting,0,0,0,0,1,0
3,cupertino_usd,A,0,0,0,SVBGOM+Arial-BoldMT,19.404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,277.969,cupertino_usd_05-10-2016_3,05-10-2016,0,0,0,0,AGENDA,1,0,0,0,1,0
4,cupertino_usd, ,0,0,0,CZPRCM+ArialMT,15.972,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_05-10-2016_4,05-10-2016,0,0,0,0,,0,0,0,0,1,0
5,cupertino_usd, ,0,0,0,CZPRCM+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_05-10-2016_5,05-10-2016,0,0,0,0,,0,0,0,0,1,0
6,cupertino_usd,C,0,0,0,CZPRCM+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_05-10-2016_6,05-10-2016,0,0,0,0,"Collins Elementary School  May 10, 2016",0,0,0,0,1,0
7,cupertino_usd,1,0,0,0,CZPRCM+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_05-10-2016_7,05-10-2016,0,1,0,0,10300 N. Blaney Avenue  6:00 p.m.,0,0,0,0,1,0
8,cupertino_usd,C,0,0,0,CZPRCM+ArialMT,14.375,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77.28,cupertino_usd_05-10-2016_8,05-10-2016,0,0,0,0,"Cupertino, CA  95014",0,0,0,0,1,0
9,cupertino_usd, ,0,0,0,SVBGOM+Arial-BoldMT,15.055,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,76.56,cupertino_usd_05-10-2016_9,05-10-2016,0,0,0,0,,0,0,0,0,1,0
