Unnamed: 0,agency,first_char,font_bold,font_italic,font_name,font_size,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,line_class
0,cupertino_usd, ,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,41.0,cupertino_usd_09-10-2013_0,09-10-2013,0,0,0,0,,0,other_text
1,cupertino_usd,1,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,41.0,cupertino_usd_09-10-2013_1,09-10-2013,0,1,0,0,1. CALL TO ORDER/FLAG SALUTE,1,section_heading
2,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,59.0,cupertino_usd_09-10-2013_2,09-10-2013,0,0,0,0,,0,other_text
3,cupertino_usd,2,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,41.0,cupertino_usd_09-10-2013_3,09-10-2013,0,1,0,0,2. RECOGNITION – CLASSIFIED EMPLOYEE OF THE MONTH,1,section_heading
4,cupertino_usd,C,0,0,Arial,14.375,0,0,1,0,0,0,0,59.0,cupertino_usd_09-10-2013_4,09-10-2013,0,0,0,0,Classified Employee of the Month – September 2013,0,other_text
5,cupertino_usd,B,0,0,Arial,14.375,0,0,1,0,0,0,0,59.0,cupertino_usd_09-10-2013_5,09-10-2013,0,0,0,0,"Baljit Jhatu, Certificated Staff Analyst",0,other_text
6,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,59.0,cupertino_usd_09-10-2013_6,09-10-2013,0,0,0,0,,0,other_text
7,cupertino_usd,3,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,41.0,cupertino_usd_09-10-2013_7,09-10-2013,0,1,0,0,3. PRESENTATION – RECOGNITION OF NEWLY TENURED TEACHERS FOR THE 2013-2014,1,section_heading
8,cupertino_usd,S,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,59.0,cupertino_usd_09-10-2013_8,09-10-2013,0,0,0,0,SCHOOL YEAR,1,other_text
9,cupertino_usd, ,1,0,Arial-Bold,15.055,0,0,1,0,0,0,0,59.0,cupertino_usd_09-10-2013_9,09-10-2013,0,0,0,0,,0,other_text
