Unnamed: 0,agency,first_char,font_bold,font_italic,font_name,font_size,includes_time,indent_bucket_0,indent_bucket_1,indent_bucket_2,indent_bucket_3,indent_bucket_4,indent_bucket_5,leading_spaces,left_inset,line_id,meeting_date,starts_with_enum_letter,starts_with_number,starts_with_roman_numeral,starts_with_subnumber,text,uppercase,line_class
0,cupertino_usd,C,1,0,Arial-Bold,16.728,0,0,0,0,0,0,1,0,195.3,cupertino_usd_04-05-2016_0,04-05-2016,0,0,0,0,CUPERTINO UNION SCHOOL DISTRICT,1,other_text
1,cupertino_usd,B,1,0,Arial-Bold,19.404,0,0,0,0,0,0,1,0,243.755,cupertino_usd_04-05-2016_1,04-05-2016,0,0,0,0,Board of Education,0,other_text
2,cupertino_usd,R,1,0,Arial-Bold,19.404,0,0,0,0,0,0,1,0,253.855,cupertino_usd_04-05-2016_2,04-05-2016,0,0,0,0,Regular Meeting,0,other_text
3,cupertino_usd,A,1,0,Arial-Bold,19.404,0,0,0,0,0,0,1,0,277.969,cupertino_usd_04-05-2016_3,04-05-2016,0,0,0,0,AGENDA,1,other_text
4,cupertino_usd, ,0,0,Arial,15.972,0,1,0,0,0,0,0,1,76.56,cupertino_usd_04-05-2016_4,04-05-2016,0,0,0,0,,0,other_text
5,cupertino_usd, ,0,0,Arial,14.375,0,0,1,0,0,0,0,5,77.28,cupertino_usd_04-05-2016_5,04-05-2016,0,0,0,0,,0,other_text
6,cupertino_usd,C,0,0,Arial,14.375,0,0,1,0,0,0,0,0,77.28,cupertino_usd_04-05-2016_6,04-05-2016,0,0,0,0,"Cupertino Union School District  April 5, 2016",0,other_text
7,cupertino_usd,1,0,0,Arial,14.375,1,0,1,0,0,0,0,0,77.28,cupertino_usd_04-05-2016_7,04-05-2016,0,1,0,0,"1309 S. Mary Avenue, Suite 150  6:00 p.m.",0,other_text
8,cupertino_usd,S,0,0,Arial,14.375,0,0,1,0,0,0,0,0,77.28,cupertino_usd_04-05-2016_8,04-05-2016,0,0,0,0,"Sunnyvale, CA  94087",0,other_text
9,cupertino_usd, ,1,0,Arial-Bold,15.055,0,1,0,0,0,0,0,1,76.56,cupertino_usd_04-05-2016_9,04-05-2016,0,0,0,0,,0,other_text
10,cupertino_usd,W,0,0,Arial,10.542,0,0,0,1,0,0,0,0,85.82,cupertino_usd_04-05-2016_10,04-05-2016,0,0,0,0,Welcome to the meeting of the Cupertino Union School District Board of Education.  If you would like to address the Board,0,other_text
11,cupertino_usd,d,0,0,Arial,10.542,0,0,0,1,0,0,0,0,85.82,cupertino_usd_04-05-2016_11,04-05-2016,0,0,0,0,"during Public Comments on any agenda item or any item not on the agenda, please fill out a comment card available in the",0,other_text
12,cupertino_usd,h,0,0,Arial,10.542,1,0,0,1,0,0,0,0,85.82,cupertino_usd_04-05-2016_12,04-05-2016,0,0,0,0,hallway and give it to the Administrative Assistant.  You will be called on to comment during this time and comments will be,0,other_text
